City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Brigantine,US,2022-10-04 22:04:08,39.4101,-74.3646,61.0,96,100,16.11
67,Bredasdorp,ZA,2022-10-04 22:04:09,-34.5322,20.0403,48.92,81,1,3.33
68,Ballater,GB,2022-10-04 22:04:10,57.0493,-3.0402,48.0,91,100,4.23
69,Savannah Bight,HN,2022-10-04 22:04:11,16.45,-85.85,82.96,68,75,8.39
70,Fort Wellington,GY,2022-10-04 22:04:11,6.4,-57.6,80.56,79,96,7.0
71,Port Elizabeth,ZA,2022-10-04 22:00:15,-33.918,25.5701,58.32,90,95,1.99
72,Mar Del Plata,AR,2022-10-04 22:04:15,-38.0023,-57.5575,59.09,77,25,14.97
73,Yarim,YE,2022-10-04 22:04:16,14.298,44.3779,55.71,64,11,0.85
74,Sarkand,KZ,2022-10-04 22:04:17,45.41,79.9186,46.15,44,11,3.4
75,Cidreira,BR,2022-10-04 22:04:18,-30.1811,-50.2056,59.47,81,0,7.74
76,Necochea,AR,2022-10-04 22:04:19,-38.5473,-58.7368,57.07,61,27,15.48
77,Owando,CG,2022-10-04 22:04:20,-0.4819,15.8999,71.98,90,52,3.11
78,Port-Cartier,CA,2022-10-04 22:02:43,50.0334,-66.8654,50.76,82,100,4.34
79,Leshukonskoye,RU,2022-10-04 22:04:21,64.8989,45.7622,43.39,97,100,4.7
80,Itacare,BR,2022-10-04 22:04:21,-14.2775,-38.9967,73.92,79,17,8.55
81,Ghatampur,IN,2022-10-04 22:04:22,26.1667,80.1667,76.46,93,100,8.79
82,Kalabo,ZM,2022-10-04 22:04:22,-14.97,22.6814,72.55,19,0,5.19
83,Sucua,EC,2022-10-04 22:04:23,-2.4667,-78.1667,74.14,68,75,5.75
84,Amiens,FR,2022-10-04 22:04:24,49.9,2.3,58.19,86,97,6.44
85,San Lazaro,BZ,2022-10-04 22:04:24,18.0387,-88.6622,81.97,78,51,7.27
86,Vigeland,NO,2022-10-04 22:04:25,58.0844,7.305,57.29,90,100,15.79
87,Vila Velha,BR,2022-10-04 22:00:18,-20.3297,-40.2925,72.95,91,92,3.0
88,Corinto,GR,2022-10-04 22:04:26,37.9407,22.9573,69.89,52,19,3.02
89,Rameswaram,IN,2022-10-04 22:04:27,9.2833,79.3,82.56,78,99,9.44
90,Iqaluit,CA,2022-10-04 22:04:27,63.7506,-68.5145,34.7,93,100,4.0
91,Mehamn,NO,2022-10-04 22:04:28,71.0357,27.8492,42.71,87,75,9.22
92,Puerto Carreno,CO,2022-10-04 22:04:28,6.189,-67.4859,84.22,71,92,4.18
