,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
241,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
243,Awjilah,LY,79.39,clear sky,29.1081,21.2869,المنزل
253,Bhagalpur,IN,77.77,overcast clouds,25.25,87,Hotel Rajhans International-Best Hotel in Bhagalpur
254,Manavalakurichi,IN,77.67,overcast clouds,8.1333,77.3,Jebinrio home
257,Pandharpur,IN,75.83,overcast clouds,17.6667,75.3333,Pandharinath Lodge and Restaurant
260,Canning,IN,80.62,few clouds,22.3189,88.6714,Baccha Buro House
268,Kintampo,GH,75,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
272,San Pedro Del Parana,PY,85.64,scattered clouds,-26.8333,-56.2,Hotel Oasis
274,Kanye,BW,77.94,clear sky,-24.9667,25.3327,The Savanna Lodge
275,Namwala,ZM,80.62,clear sky,-15.7504,26.4384,Corner Point Lodge
281,Ankazoabo,MG,78.69,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
285,Pangoa,PE,86.16,overcast clouds,-12.1167,-73,
289,Kudahuvadhoo,MV,81.1,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
290,San Lorenzo,PY,89.53,broken clouds,-25.3333,-57.5333,Canarias Hotel
291,Itaqui,BR,76.35,light rain,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
293,Baeza,ES,75.51,few clouds,37.9938,-3.471,Hotel TRH Baeza
294,Kalabo,ZM,78.31,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
295,Ponnani,IN,78.12,overcast clouds,10.767,75.9252,Rouba Residency
297,Shelburne,CA,75.76,few clouds,44.0787,-80.2041,The Retreat at the Farm
304,North Myrtle Beach,US,75.11,clear sky,33.816,-78.68,Avista Resort
306,Yuty,PY,83.34,broken clouds,-26.6,-56.25,MAGRIBE
308,Iralaya,HN,83.16,overcast clouds,15,-83.2333,Iglesia morava renovada
312,Hun,LY,75.31,clear sky,29.1268,15.9477,Alrwasi Hotel
314,Port Said,EG,77.41,clear sky,31.2565,32.2841,Aracan Hotel
316,Puerto Rico,AR,82.06,broken clouds,-26.796,-55.024,Hotel Cabañas del Prado
317,Kutum,SD,84.99,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
320,Port Blair,IN,80.01,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
323,Presidencia Roque Saenz Pena,AR,77.83,overcast clouds,-26.7852,-60.4388,Hotel Gualok
324,Cururupu,BR,85.44,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
327,Tucuman,AR,87.8,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
331,Jalalabad,AF,84.38,clear sky,34.4265,70.4515,Waheed
336,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
338,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
344,Islamkot,PK,85.08,broken clouds,24.6997,70.177,Pizza point islamkot
346,Gualeguay,AR,80.08,overcast clouds,-33.1416,-59.3097,Cabañas Nuestro Refugio. Noelia y Lisandro
349,Mogadishu,SO,77.68,overcast clouds,2.0371,45.3438,Hotel Juba
352,Nazare Da Mata,BR,85.17,few clouds,-7.7417,-35.2278,Hotel Santa Inêz
355,Ferkessedougou,CI,75.16,light rain,9.6,-5.2,Hotel Chateau
356,Itarema,BR,82.67,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
357,Parrita,CR,83.34,broken clouds,9.5201,-84.3225,Beso del Viento
361,Kulhudhuffushi,MV,81.03,overcast clouds,6.6221,73.07,Haajy Guest House 1
365,Lagos,NG,77.32,scattered clouds,6.5833,3.75,
367,Eyl,SO,78.01,overcast clouds,7.9803,49.8164,EYL AQUE SYSTEM
370,Bousso,TD,76.01,broken clouds,10.4795,16.7117,
375,San Andres,CO,87.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
382,Villa Del Rosario,CO,84.58,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
383,Mandali,IQ,89.73,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
386,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
388,Am Timan,TD,78.22,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
